main_category|sub_category|channel|description
sport|football|Q2|VB. C1 UEFA SCHIFT - DORTMUND/CL.BRUGGE
entertainment|talk|EEN|DIE HUIS - FILIP PEETERS
knowledge|economy/business|VTM|SUCCESRIJK! TOPONDERNEMERS IN VLAANDEREN
sport|football|VIER|VB. C1 UEFA SCHIFT - AS.ROMA/R.MADRID
sport|athletics (field/cross)|EEN|VELDLOPEN. ROESELARE
knowledge|human interest/society|EEN|CRECHES SAUVAGES, DES BEBES DANS NOS CAMPAGNES
fiction|action|VTM|THE HUNGER GAMES, MOCKINGJAY, PART 2
fiction|psychologic drama/melodrama|EEN|LITTLE BUDDHA
entertainment|variety|VIER|TIPSY
fiction|thriller|Q2|NERVE
knowledge|human interest/society|EEN|OLLY ALEXANDER, GROWING UP GAY
entertainment|talk|EEN|DIE HUIS - ZUHAL DEMIR
sport|football|VTM|VB. NATIONS LEAGUE UEFA - ZWITSERLAND/BELGIE
fiction|psychologic drama/melodrama|EEN|THE YOUNG VICTORIA
fiction|psychologic drama/melodrama|VITAYA|HACHIKO, A DOG'S STORY
knowledge|human interest/society|EEN|CHARLES, PRINS, ZOON EN TROONOPVOLGER
entertainment|talk|EEN|DIE HUIS - STEFAAN DEGAND
knowledge|humanities/history|EEN|NOOIT MEER TEN OORLOG
sport|cycling (cross)|CANVAS|VELDRIJDEN. GAVERE
information|special event|EEN|EXTRA JOURNAAL - HERDENKING WO I
knowledge|humanities/history|CANVAS|WE WILL REMEMBER THEM
fiction|thriller|EEN|THE PELICAN BRIEF
entertainment|game|VTM|THE VOICE KIDS - THE BATTLE
fiction|action|Q2|BLOOD FATHER
sport|football|CANVAS|VB. C3 UEFA SCHIFT - GENK/BESIKTAS
sport|football|CANVAS|VB. C3 UEFA SCHIFT - FENERBAHCE/ANDERLECHT
knowledge|human interest/society|EEN|LEVEN ACHTER DE TRALIES, HET BEZOEKUUR
sport|football|Q2|VB. C1 UEFA SCHIFT - JUVENTUS/MANCHESTER
sport|football|VIER|VB. C1 UEFA SCHIFT - MONACO/CL.BRUGGE
sport|cycling (cross)|EEN|VELDRIJDEN. EK. ROSMALEN H.
sport|cycling (cross)|EEN|VELDRIJDEN. EK. ROSMALEN D.
sport|gymnastic|EEN|GYM. WK. DOHA
sport|rally|EEN|AUTO. RALLY CONDROZ-HUY (S.)
knowledge|nature/environment|EEN|NATURE'S GREATEST TALENTS - SMART & SAFE
fiction|comedy|VTM|THE TUXEDO
fiction|action|Q2|SALT
knowledge|human interest/society|CANVAS|DANNY IN DE BUITENWIJKEN
information|general news|LA UNE|LE 19.30
information|general news|RTL-TVI|RTL INFO 19H
knowledge|nature/environment|LA UNE|LE JARDIN EXTRAORDINAIRE
lifestyle|show business/variety/stars|RTL-TVI|DES BELGES EN OR
fiction|thriller|LA UNE|LES FANTOMES DU HAVRE
fiction|police|RTL-TVI|NCIS, ENQUETES SPECIALES
information|general news|LA UNE|LE 13 HEURES
information|general news|RTL-TVI|RTL INFO 13H
sport|all sports|LA UNE|WEEK-END SPORTIF
lifestyle|show business/variety/stars|TF1|SEPT A HUIT - LIFE
entertainment|game|TF1|LES 12 COUPS DE MIDI!
information|current affair|TF1|SEPT A HUIT
fiction|action|TF1|DIE HARD, BELLE JOURNEE POUR MOURIR
lifestyle|home/decorating|RTL-TVI|LA MAISON DE MES REVES
lifestyle|gardening|LA UNE|JARDINS ET LOISIRS
information|current affair|AB3|REPORTERS
fiction|thriller|RTL-TVI|UN CRIME PARFAIT?
information|general news|TF1|LE 20 HEURES
knowledge|human interest/society|TF1|REPORTAGES DECOUVERTE
lifestyle|pets|TF1|SANS COLLIER
sport|handball|EEN|HANDBALL. EK. KWALIF H. - BELGIE/KROATIE
sport|cycling (cross)|EEN|VELDRIJDEN. NEERPELT (S.)
fiction|adventure|EEN|KON-TIKI
fiction|comedy|VTM|MR. POPPER'S PENGUINS
fiction|horror|Q2|VICTOR FRANKENSTEIN
sport|football|CANVAS|VB. C3 UEFA SCHIFT - BESIKTAS/GENK
sport|football|OP 12|VB. C3 UEFA SCHIFT - ANDERLECHT/FENERBAHCE (2HT)
sport|football|CANVAS|VB. C3 UEFA SCHIFT - ANDERLECHT/FENERBAHCE (1HT)
sport|football|CANVAS|VB. C3 UEFA SCHIFT
sport|football|Q2|VB. C1 UEFA - CL.BRUGGE/MONACO
knowledge|human interest/society|EEN|SCHOOL FOR STAMMERERS
sport|football|Q2|UEFA CHAMPIONS LEAGUE
knowledge|humanities/history|EEN|LAST DAYS
sport|football|VIER|VB. C1 UEFA SCHIFT - MANCHESTER/JUVENTUS
sport|football|VIER|VB. C1 UEFA SCHIFT - STUDIO
knowledge|humanities/history|CANVAS|APOCALYPS, DE EERSTE WERELDOORLOG - VERLOSSING
sport|formula 1|EEN|F1. WK. GP. VERENIGDE STATEN (S.)
knowledge|nature/environment|EEN|LIFE AT THE LIMITS
entertainment|talk|CANVAS|ALLEEN ELVIS BLIJFT BESTAAN
fiction|action|Q2|THE BOURNE SUPREMACY
knowledge|economy/business|CANVAS|DE VAL, 10 JAAR NA DE CRISIS
sport|football|VTM|VB. VRIEND - BELGIE/NEDERLAND
sport|football|VTM|VB. VRIEND
knowledge|humanities/history|CANVAS|APOCALYPS, DE EERSTE WERELDOORLOG - VUUR
information|economy/politics/society affairs|EEN|KOPSTUKKENDEBAT
information|economy/politics/society affairs|EEN|KIES18
information|economy/politics/society affairs|VTM|STEM 2018
information|economy/politics/society affairs|VTM|EXTRA NIEUWS - STEM 2018
sport|cycling (cross)|EEN|VELDRIJDEN. GIETEN (S.)
information|economy/politics/society affairs|EEN|EXTRA JOURNAAL - VERKIEZINGEN 2018
knowledge|culture/folklore/tradition|CANVAS|RITUALS - THE POWER OF NATURE
knowledge|humanities/history|CANVAS|ANCIENT INVISIBLE CITIES - CAIRO
fiction|adventure|Q2|VIKINGS
lifestyle|show business/variety/stars|VITAYA|RICH HOUSE, POOR HOUSE
fiction|comedy|Q2|THE BIG BANG THEORY
fiction|popular drama/comedy|VITAYA|MEET MY VALENTINE
fiction|thriller|CANVAS|RIG 45
sport|football|VTM|VB. NATIONS LEAGUE UEFA - BELGIE/ZWITSERLAND
fiction|popular drama/comedy|VIJF|THE PRINCESS DIARIES II
fiction|thriller|VITAYA|CLEVELAND ABDUCTION
knowledge|humanities/history|CANVAS|APOCALYPS, DE EERSTE WERELDOORLOG - DE HEL
knowledge|human interest/society|CANVAS|BELGA SPORT - SVEN NYS, DE GEBOORTE VAN DE KANNIBAAL
sport|cycling (cross)|VTM|VELDRIJDEN. RONSE H.
sport|cycling (cross)|VTM|VELDRIJDEN. RONSE D.
fiction|action|EEN|MAVERICK
knowledge|nature/environment|EEN|BORNEO'S SECRET KINGDOM - KING OF THE SWAMP
fiction|action|VIER|LONE SURVIVOR
fiction|adventure|VIER|NATIONAL TREASURE II, BOOK OF SECRETS
fiction|action|VTM|CHAIN REACTION
sport|football|CANVAS|VB. C3 UEFA SCHIFT - SARPSBORG/GENK
sport|football|CANVAS|VB. C3 UEFA SCHIFT - ANDERLECHT/ZAGREB (1HT)
sport|football|OP 12|VB. C3 UEFA SCHIFT - ANDERLECHT/ZAGREB (2HT)
information|economy/politics/society affairs|VTM|HET GROOTSTE DEBAT
sport|football|Q2|VB. C1 UEFA SCHIFT - AT.MADRID/CL.BRUGGE
knowledge|human interest/society|VTM|JONG GEWELD
knowledge|humanities/history|CANVAS|APOCALYPS, DE EERSTE WERELDOORLOG - ANGST
sport|football|ZES|VB. C1 UEFA SCHIFT - MANCHESTER/VALENCIA
sport|cycling (road)|VTM|WIELRENNEN. BINCHE-CHIMAY-BINCHE
knowledge|human interest/society|CANVAS|BELGA SPORT - 4X100 METER, DE LANGE WEG NAAR GOUD
sport|cycling (road)|EEN|WIELRENNEN. WK. INNSBRUCK. H.
sport|cycling (cross)|EEN|VELDRIJDEN. WK. IOWA
fiction|psychologic drama/melodrama|EEN|STILL ALICE
sport|cycling (road)|EEN|WIELRENNEN. WK. INNSBRUCK. D.
knowledge|nature/environment|EEN|BORNEO'S SECRET KINGDOM - EMPIRE OF THE SUN
fiction|popular drama/comedy|VTM|DIRTY DANCING
sport|basketball|CANVAS|BASKET. WK. D. - BELGIE/USA
fiction|science fiction|VIER|MAN OF STEEL
fiction|police|EEN|PROFILAGE
knowledge|nature/environment|EEN|WILD FRANCE
sport|football|Q2|VB. BB. 1/16F - ANDERLECHT/R.UNION ST-GILLOISE
sport|cycling (road)|CANVAS|WIELRENNEN. WK. INNSBRUCK. H.
sport|football|Q2|VB. BB. 1/16F
sport|football|CANVAS|VB. BB. 1/16F - KV.MECHELEN/ANTWEERP
knowledge|humanities/history|CANVAS|APOCALYPS, DE EERSTE WERELDOORLOG - RAZERNIJ
entertainment|talk|CANVAS|DANK DAT U BIJ ONS WAS
sport|cycling (road)|EEN|WIELRENNEN. WK. INNSBRUCK. D. (S.)
sport|basketball|EEN|BASKET. WK. D. (S.)
fiction|popular drama/comedy|EEN|LEGENDS OF THE FALL
knowledge|nature/environment|EEN|BORNEO'S SECRET KINGDOM - FOREST OF THE FLYING SNAKES
fiction|thriller|CANVAS|CRAITH
sport|cycling (road)|VTM|WIELRENNEN. EUROMETROPOLE
entertainment|music|VTM|BAZART, HET BEGIN VOORBIJ
fiction|adventure|VIER|PIRATES OF THE CARIBBEAN, THE CURSE OF THE BLACK PEARL
sport|football|CANVAS|VB. C3 UEFA SCHIFT - SPARTAK TRNAVA/ANDERLECHT
sport|football|CANVAS|VB. C3 UEFA SCHIFT - GENK/MALMO (1HT)
entertainment|love/dating|VTM|KOPPELS
sport|football|Q2|VB. C1 UEFA SCHIFT - R.MADRID/AS.ROMA
sport|football|VIER|VB. C1 UEFA SCHIFT - CL.BRUGGE/DORTMUND
entertainment|talk|CANVAS|VOOR DE MANNEN
sport|cycling (cross)|VTM|VELDRIJDEN. GERAARDSBERGEN
knowledge|nature/environment|EEN|SPY IN THE WILD - MISCHIEF
fiction|action|EEN|MISSION IMPOSSIBLE III
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 20 ANDORRA. ESCALDES-ENGORDANY> COLL
fiction|action|VIER|CAPTAIN AMERICA, THE WINTER SOLDIER
fiction|popular drama/comedy|VIJF|ME BEFORE YOU
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 19 LLEIDA>ANDORRA NATURLANDIA
fiction|psychologic drama/melodrama|CANVAS|WALK THE LINE
fiction|science fiction|VIER|GUARDIANS OF THE GALAXY
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 17 GETXO>BALCON DE BIZKAIA
fiction|popular drama/comedy|VIJF|SEX TAPE
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 15 RIBERA DE ARRIBA>LAGOS DE COVADON
sport|cycling (cross)|EEN|MOUNTAINBIKE. WK. ZWITSERLAND (S.)
knowledge|nature/environment|EEN|SPY IN THE WILD - FRIENDSHIP
fiction|popular drama/comedy|EEN|THE BRIDGES OF MADISON COUNTY
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 14 CISTIERNA>LES PRAERES DE NAVA
fiction|fantasy/fairy tale|VIER|PAN
fiction|science fiction|Q2|OBLIVION
fiction|fantasy/fairy tale|VTM|SHREK FOREVER AFTER
fiction|popular drama/comedy|VIER|THE HANGOVER
sport|football|VTM|VB. VRIEND - SCHOTLAND/BELGIE
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 13 CANDAS CARRENO>LA CAMPERONA
fiction|action|VTM|THE TAKING OF PELHAM 123
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 12 MONDONEDO>FARO DE ESTACA DE BARES
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 11 MOMBUEY>RIBEIRA SACRA LUINTRA
fiction|popular drama/comedy|VIJF|OH MY GOD
information|current affair|EEN|KINDERZIEKENHUIS
information|current affair|CANVAS|PANORAMA
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 9 TALAVERA DE LA REINA>LA COVATILLA
lifestyle|cooking/food/drink|EEN|RICK STEIN'S ROAD TO MEXICO
knowledge|humanities/history|CANVAS|ITALY'S INVISIBLE CITIES - FLORENCE
lifestyle|travel/tourism|EEN|JIMMY DOHERTY'S ESCAPE TO THE WILD
knowledge|human interest/society|CANVAS|WHERE THE WILD MEN ARE
knowledge|nature/environment|EEN|DE AARDE VANUIT DE HEMEL - MAROKKO
knowledge|nature/environment|EEN|SPY IN THE WILD - INTELLIGENCE
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 8 LINARES>ALMADEN
fiction|other fiction|CANVAS|VIHTA
fiction|popular drama/comedy|EEN|EVERYBODY HAPPY
fiction|thriller|VTM|WANTED
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 7 PUERTO-LUMBRERAS>POZO ALCON
fiction|fantasy/fairy tale|VTM|BIG HERO 6
entertainment|variety|EEN|HET ZOMERT MET...
entertainment|game|VTM|MILJONAIR
sport|football|Q2|VB. C3 UEFA SCHIFT - BORDEAUX/GENT
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 6 HUERCAL-OVERA>MAR MENOR
lifestyle|home/decorating|EEN|THE WORLD'S MOST EXTRAORDINARY HOMES
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 5 GRANADA>ROQUETAS DE MAR
sport|football|Q2|VB. C1 UEFA SCHIFT - EINDHOVEN/BATE
knowledge|humanities/history|CANVAS|APOCALYPSE STALIN
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 4 VELEZ-MALAGA>SIERRA DE LA ALFAGUAR
sport|football|VIER|VB. C1 UEFA SCHIFT - KIEV/AJAX
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 3 MIJAS>ALHAURIN DE LA TORRE
knowledge|human interest/society|VIER|DE SOLLICITATIE
knowledge|nature/environment|CANVAS|SOUTH AFRICA - KILLERS OF THE KALAHARI
knowledge|nature/environment|EEN|ZOO AUSTRALIE
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 2 MARBELLA>CAMINITO DEL REY
knowledge|nature/environment|EEN|THE WONDER OF ANIMALS - BIRDS OF PREY
fiction|thriller|CANVAS|INNOCENT
knowledge|nature/environment|EEN|SPY IN THE WILD - LOVE
fiction|action|Q2|MACHETE KILLS
sport|cycling (road)|CANVAS|WIELRENNEN. RONDE VAN SPANJE - RIT 1 MALAGA>MALAGA
fiction|police|EEN|GEORGE GENTLY
fiction|action|VTM|THE HUNGER GAMES, MOCKINGJAY, PART 1
sport|cycling (road)|EEN|WIELRENNEN. GREAT WAR REMEMBRANCE RACE - RIT 5 SINT-PIETERS-LEEUW>LANAKEN
fiction|action|VTM|NOVEMBER MAN
fiction|popular drama/comedy|Q2|GOOD KIDS
knowledge|human interest/society|CANVAS|UNITED SHADES OF AMERICA
fiction|action|Q2|SPIDER-MAN III
sport|football|Q2|VB. C1 UEFA SCHIFT - AJAX/KIEV
knowledge|nature/environment|CANVAS|WILD SPAIN - THE MEDITERRANEAN SOUTH
lifestyle|travel/tourism|EEN|SECOND CHANCE SUMMER, TUSCANY
sport|football|VIER|VB. C1 UEFA SCHIFT - BATE/PSV
fiction|thriller|CANVAS|THE BRIDGE
sport|cycling (road)|EEN|WIELRENNEN. BINCKBANK TOUR - RIT 7 LACS DE L'EAU D'HEURE>GERAARDSBERG
entertainment|game|VTM|ALTIJD PRIJS
knowledge|humanities/history|CANVAS|CALLAS-KENNEDY-ONASSIS, DEUX REINES POUR UN ROI
knowledge|architecture/urbanism|CANVAS|ITALY'S INVISIBLE CITIES - NAPLES
knowledge|nature/environment|EEN|DE AARDE VANUIT DE HEMEL - DE MIDDELLANDSE ZEE
sport|cycling (road)|EEN|WIELRENNEN. BINCKBANK TOUR - RIT 6 RIEMST>SITTARD-GELEEN
fiction|fantasy/fairy tale|EEN|EDWARD SCISSORHANDS
knowledge|nature/environment|EEN|WILD MEXICO - BURNING NORTH
fiction|science fiction|Q2|TOTAL RECALL
fiction|action|VIER|SUPERMAN RETURNS
sport|cycling (road)|EEN|WIELRENNEN. BINCKBANK TOUR - RIT 5 SINT-PIETERS-LEEUW>LANAKEN
fiction|science fiction|VTM|ELYSIUM
sport|cycling (road)|EEN|WIELRENNEN. BINCKBANK TOUR - RIT 4 BLANKENBERGE>ARDOOIE
fiction|action|Q2|THE KARATE KID
sport|football|Q2|VB. SUPER EB - R.MADRID/AT.MADRID
sport|cycling (road)|EEN|WIELRENNEN. BINCKBANK TOUR - RIT 3 AALTER>ANTWERPEN
sport|football|Q2|VB. SUPER EB
sport|football|Q2|VB. C1 UEFA SCHIFT - AJAX/STANDARD
sport|cycling (road)|EEN|WIELRENNEN. BINCKBANK TOUR - RIT 1 HEERVENVEEN>BOLSWARD
knowledge|nature/environment|CANVAS|SOUTH AFRICA - CLASH OF CURRENTS
sport|cycling (road)|EEN|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN.
sport|athletics (track/piste)|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN - ATLETIEK.
sport|all sports|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN
fiction|adventure|VTM|SHANGHAI KNIGHTS
sport|gymnastic|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN - GYM.
knowledge|nature/environment|EEN|WILD MEXICO - FORESTS OF THE MAYA
fiction|comedy|VTM|GOOD MORNING, VIETNAM
knowledge|nature/environment|EEN|WILD SARDINIA
sport|other sports|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN - TRIATHLON.
fiction|action|Q2|FANTASTIC FOUR II - RISE OF THE SILVER SURFER
fiction|science fiction|VIER|INCEPTION
fiction|thriller|VTM|NOW YOU SEE ME
fiction|psychologic drama/melodrama|VIJF|GRACE OF MONACO
entertainment|game|VIER|HET ZIJN NET MENSEN
fiction|thriller|EEN|HOW TO GET AWAY WITH MURDER
sport|cycling (track/piste)|EEN|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN. BAAN.  ELIMINATION RACE H
sport|football|Q2|VB. C1 UEFA - STANDARD/AJAX
sport|cycling (track/piste)|EEN|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN. BAAN.  KEIRIN H
sport|cycling (track/piste)|EEN|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN. BAAN.  MADISON D
sport|cycling (track/piste)|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN. BAAN. OMNIUM D.
sport|cycling (road)|EEN|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN. WEG D.
fiction|comedy|VTM|THIS MEANS WAR
sport|gymnastic|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN - TURNEN. VLOER D.
knowledge|nature/environment|EEN|WILD MEXICO - MOUNTAIN WORLDS
fiction|psychologic drama/melodrama|VTM|THE SHAWSHANK REDEMPTION
fiction|comedy|VIJF|RUMOR HAS IT
fiction|action|Q2|SABOTAGE
fiction|action|VIER|THE LAST SAMURAI
sport|cycling (track/piste)|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN. BAAN. 3000M ACHTERVOLGING D.
fiction|comedy|VTM|TOOTH FAIRY
fiction|action|Q2|OUTCAST
sport|cycling (track/piste)|CANVAS|DE EUROPESE KAMPIOENSCHAPPEN - WIELRENNEN. BAAN H.
knowledge|nature/environment|CANVAS|OVER DE RUG VAN DE ANDES
knowledge|science/geography|CANVAS|FORCES OF NATURE
fiction|comedy|VTM|LEGALLY BLONDE
knowledge|nature/environment|CANVAS|DROLES DE RENCONTRES DANS LA SAVANE
knowledge|human interest/society|CANVAS|LOUIS THEROUX - MY SCIENTOLOGY MOVIE
knowledge|humanities/history|CANVAS|BOUDEWIJN, NAAR HET HART VAN DE KONING
knowledge|humanities/history|CANVAS|PUBLIEK GEHEIM - HET KRANKZINNIGENKERKHOF VAN REKEM
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 21 HOUILLES>PARIS CHAMPS-ELYSEES
sport|cycling (road)|CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 21 HOUILLES>PARIS CHAMPS-ELYSEES
fiction|action|VTM|THE DAY AFTER TOMORROW
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 20 SAINT-PEE-SUR-NIVELLE>ESPELETTE
fiction|action|EEN|YOU ONLY LIVE TWICE
knowledge|nature/environment|EEN|BORN TO SWIM
fiction|police|ZES|NCIS, NEW ORLEANS
fiction|adventure|VTM|ICE AGE 4, CONTINENTAL DRIFT
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 19 LOURDES>LARUNS
fiction|comedy|EEN|LE GENDARME ET LES GENDARMETTES
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 18 TRIE-SUR-BAISE>PAU
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 17 BAGNERES-DE-LUCHON>COL DU PORTET
fiction|thriller|VTM|DE BEHANDELING
fiction|action|Q2|EXTRACTION
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 16 CARCASSONNE>BAGNERES-DE-LUCHON
knowledge|modern music/dance|CANVAS|BELPOP - ANN CHRISTY
information|current affair|CANVAS|FOREIGN CORRESPONDENT
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 15 MILLAU>CARCASSONNE
fiction|action|VIER|MAC GYVER
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 14 SAINT-PAUL-TROIS-CHATEAUX>MENDE
fiction|action|EEN|DIAMONDS ARE FOREVER
fiction|comedy|VTM|DADDY'S HOME
fiction|action|Q2|MAN OF TAI CHI
fiction|psychologic drama/melodrama|VTM|JERRY MAGUIRE
fiction|action|VIER|HEAT
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 13 BOURG D'OISANS>VALENCE
fiction|science fiction|EEN|LE GENDARME ET LES EXTRA-TERRESTRES
fiction|thriller|Q2|DYING OF THE LIGHT
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 12 BOURG-SAINT-MAURICE>ALPE D'HUEZ
fiction|action|Q2|HALF PAST DEAD
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 11 ALBERTVILLE>LA ROSIERE
fiction|action|VTM|I SPY
knowledge|humanities/history|CANVAS|EEUWIGE VIJANDEN, IRAN VS. SAUDI-ARABIE
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 10 ANNECY>LE GRAND-BORNAND
sport|cycling (road)|CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 10 ANNECY>LE GRAND-BORNAND
knowledge|modern music/dance|CANVAS|BELPOP - THE SCABS
knowledge|nature/environment|CANVAS|WILD COLOMBIA - CHIRIBIQUETE, JOURNEY TO THE HEART OF TH
sport|football|EEN|VB. WK. FIN - FRANKRIJK/KROATIE
sport|football|EEN|VB. WK. FIN
sport|cycling (road)|CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 9 ARRAS>ROUBAIX
sport|football|EEN|VB. WK. FIN - STUDIO
information|general news|CANVAS|HET 7 UUR-JOURNAAL
sport|all sports|CANVAS|VILLA SPORZA
information|special event|VTM|EXTRA NIEUWS - BEDANKT DUIVELS
sport|football|EEN|VB. WK. B.FIN - BELGIE/ENGELAND
sport|football|EEN|VB. WK. B.FIN
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 8 DREUX>AMIENS
knowledge|human interest/society|EEN|DWARS DOOR AMERIKA
sport|football|EEN|VB. WK. B.FIN - STUDIO
fiction|action|EEN|NEVER SAY NEVER AGAIN
fiction|police|CANVAS|SCOTT & BAILEY
sport|cycling (road)|CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 8 DREUX>AMIENS
fiction|adventure|VITAYA|THE BLUE LAGOON
fiction|popular drama/comedy|VIJF|PRETTY WOMAN
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 7 FOUGERES>CHARTRES
sport|cycling (road)|CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 7 FOUGERES>CHARTRES
lifestyle|cooking/food/drink|EEN|JAMES MARTIN'S FRENCH ADVENTURE
fiction|popular drama/comedy|EEN|LE GENDARME EN BALADE
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 6 BREST>MUR DE BRETAGNE GUERLEDAN
fiction|popular drama/comedy|CANVAS|PAULINE A LA PLAGE
sport|football|EEN|VB. WK. 1/2F - KROATIE/ENGELAND
sport|football|EEN|VB. WK. 1/2F
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 5 LORIENT>QUIMPER
fiction|police|EEN|PERCEPTION
sport|football|EEN|VB. WK. 1/2F - FRANKRIJK/BELGIE
sport|football|EEN|VB. WK. 1/2F - STUDIO
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 4 LA BAULE>SARZEAU
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 3 CHOLET>CHOLET
knowledge|modern music/dance|CANVAS|BELPOP - WILL TURA
knowledge|nature/environment|CANVAS|WILD COLOMBIA - SERRANIA DE LA MACARENA, NATURE'S TREASU
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 2 MOUILLERON-SAINT-GERMAIN>LA ROCHE-
fiction|action|VTM|2 GUNS
lifestyle|cooking/food/drink|EEN|RICK STEIN, TASTE OF SHANGHAI
knowledge|medecin/health|VITAYA|KINDERZIEKENHUIS
sport|football|EEN|VB. WK. 1/4F - RUSLAND/KROATIE
sport|football|EEN|VB. WK. 1/4F - ZWEDEN/ENGELAND
fiction|adventure|EEN|BORN TO RUN
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 1 NOIRMOUTIER-EN-L'ILE>FONTENAY-LE-C
sport|cycling (road)|CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 1 NOIRMOUTIER-EN-L'ILE>FONTENAY-LE-C
fiction|popular drama/comedy|VTM|ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY
fiction|adventure|EEN|PAPILLON
fiction|thriller|VTM|THE JACKAL
fiction|science fiction|Q2|TRANSCENDENCE
fiction|popular drama/comedy|VIJF|MYSTIC PIZZA
sport|football|EEN|VB. WK. 1/4F - BRAZILIE/BELGIE
sport|football|EEN|VB. WK. 1/4F - STUDIO
sport|football|EEN|VB. WK. 1/4F - URUGUAY/FRANKRIJK
fiction|action|VTM|NATIONAL SECURITY
fiction|action|EEN|WINDKRACHT 10, KOKSIJDE RESCUE
knowledge|human interest/society|CANVAS|STACEY DOOLEY - ROMA-KINDEREN IN GEVAAR
fiction|adventure|VIER|POSEIDON
fiction|action|Q2|STEALTH
sport|football|EEN|VB. WK. 1/8F - COLOMBIA/ENGELAND
sport|football|EEN|VB. WK. 1/8F - ZWEDEN/ZWITSERLAND
sport|football|EEN|VB. WK. 1/8F - STUDIO
fiction|horror|Q2|WHAT LIES BENEATH
fiction|thriller|VIER|IMAGE
knowledge|humanities/history|CANVAS|BOMBING WAR, FROM GUERNICA TO HIROSHIMA
sport|football|EEN|VB. WK. SCHIFT. - BELGIE/JAPAN
sport|football|EEN|VB. WK. 1/8F - BRAZILIE/MEXICO
knowledge|modern music/dance|CANVAS|BELPOP - 40 JAAR WERCHTER
